ISS-ID,loncity,latcity,lens,large,coordimage,CoordFLAG
ISS030-E-213339,-122.4194155,37.7749295,200.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213339.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=-122.4,5.0
ISS030-E-213339,-122.4194155,37.7749295,200.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213339.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=-122.4,5.0
ISS030-E-213339,-122.4194155,37.7749295,200.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213339.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=-122.4,5.0
ISS030-E-213644,-8.24389,53.41291,28.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213644.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=-15.4,5.0
ISS030-E-213644,-8.24389,53.41291,28.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-213644.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=48.0&lon=-15.4,5.0
ISS030-E-217598,4.4811111,51.9216667,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,5.291266,52.132633,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,4.4811111,51.9216667,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,5.291266,52.132633,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,4.4811111,51.9216667,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,5.291266,52.132633,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,4.4811111,51.9216667,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
ISS030-E-217598,5.291266,52.132633,400.0 mm,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217598.jpg,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=6.2,5.0
