linkData,link_big,idiss,link_small,citylat,n_answers,coordimage,citylon,focal
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS037&roll=E&frame=13304,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS037/ISS037-E-13304.JPG,13304,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS037/ISS037-E-13304.JPG,30.6332618,,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=5.2&lon=99.5,-97.6779842,200
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=188123,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-188123.JPG,188123,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-188123.JPG,36.010146,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.7&lon=130.1,129.374559,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195608,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195608.JPG,195608,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195608.JPG,41.113213,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=40.7&lon=-105.2,-104.851098,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=195525,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-195525.JPG,195525,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-195525.JPG,45.491043,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=45.5&lon=-71.5,-73.622815,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=184145,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-184145.JPG,184145,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-184145.JPG,35.056821,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=36.1&lon=137.5,136.875153,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172351,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172351.JPG,172351,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172351.JPG,30.319814,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=30.9&lon=120.6,120.404144,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=274909,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-274909.JPG,274909,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-274909.JPG,47.490819,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=47.7&lon=21.4,19.048411,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=217592,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-217592.JPG,217592,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-217592.JPG,51.924866,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=51.5&lon=5.2,4.469924,400
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=172067,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-172067.JPG,172067,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-172067.JPG,18.051274,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=19.7&lon=-62.4,-63.05625,85
http://eol.jsc.nasa.gov/scripts/sseop/photo.pl?mission=ISS030&roll=E&frame=183774,http://eol.jsc.nasa.gov/sseop/images/ESC/large/ISS030/ISS030-E-183774.JPG,183774,http://eol.jsc.nasa.gov/sseop/images/ESC/small/ISS030/ISS030-E-183774.JPG,-17.631386,30,http://eol.jsc.nasa.gov/scripts/SSEOP/MapCoordinate/MapCoordinate.pl?lat=-16.5&lon=-149.2,-149.606194,85
